date,BTCUSDT,ETHUSDT,BNBUSDT
2024-05-02,59060.61000000,2986.19000000,560.50000000
2024-05-03,62882.01000000,3102.61000000,587.00000000
2024-05-04,63892.04000000,3117.23000000,585.70000000
2024-05-05,64012.00000000,3136.41000000,592.00000000
2024-05-06,63165.19000000,3062.60000000,588.20000000
2024-05-07,62312.08000000,3005.69000000,576.50000000
2024-05-08,61193.03000000,2974.21000000,588.60000000
2024-05-09,63074.01000000,3036.23000000,596.80000000
2024-05-10,60799.99000000,2909.99000000,585.60000000
2024-05-11,60825.99000000,2912.45000000,592.20000000
2024-05-12,61483.99000000,2929.29000000,594.80000000
2024-05-13,62940.08000000,2950.99000000,591.70000000
2024-05-14,61577.49000000,2881.93000000,567.10000000
2024-05-15,66206.50000000,3032.55000000,581.00000000
2024-05-16,65235.21000000,2944.70000000,569.20000000
2024-05-17,67024.00000000,3092.01000000,580.90000000
2024-05-18,66915.20000000,3122.94000000,580.30000000
2024-05-19,66274.01000000,3071.19000000,574.50000000
2024-05-20,71446.62000000,3661.78000000,599.60000000
2024-05-21,70148.34000000,3789.60000000,618.50000000
2024-05-22,69166.62000000,3737.73000000,614.80000000
2024-05-23,67969.65000000,3783.61000000,599.30000000
2024-05-24,68549.99000000,3728.28000000,600.30000000
2024-05-25,69290.57000000,3749.26000000,602.40000000
2024-05-26,68507.67000000,3826.47000000,600.20000000
2024-05-27,69436.43000000,3894.22000000,603.90000000
2024-05-28,68398.39000000,3844.69000000,601.70000000
2024-05-29,67652.42000000,3767.43000000,595.70000000
2024-05-30,68352.17000000,3747.91000000,595.10000000
2024-05-31,67540.01000000,3762.29000000,593.70000000
2024-06-01,67766.85000000,3815.82000000,601.90000000
2024-06-02,67765.63000000,3780.91000000,602.90000000
2024-06-03,68809.90000000,3767.06000000,626.40000000
2024-06-04,70537.84000000,3810.23000000,685.70000000
2024-06-05,71108.00000000,3865.99000000,698.80000000
2024-06-06,70799.06000000,3813.46000000,711.20000000
2024-06-07,69355.60000000,3678.32000000,684.00000000
2024-06-08,69310.46000000,3681.57000000,682.70000000
2024-06-09,69648.14000000,3706.40000000,673.00000000
2024-06-10,69540.00000000,3667.85000000,625.10000000
2024-06-11,67314.24000000,3497.33000000,602.50000000
2024-06-12,68263.99000000,3560.12000000,619.40000000
2024-06-13,66773.01000000,3469.40000000,599.80000000
2024-06-14,66043.99000000,3481.80000000,603.30000000
2024-06-15,66228.25000000,3568.74000000,608.20000000
2024-06-16,66676.87000000,3624.41000000,610.80000000
2024-06-17,66504.33000000,3511.46000000,604.30000000
2024-06-18,65175.32000000,3483.42000000,588.60000000
2024-06-19,64974.37000000,3560.51000000,599.30000000
2024-06-20,64869.99000000,3513.08000000,587.70000000
2024-06-21,64143.56000000,3518.50000000,586.10000000
2024-06-22,64262.01000000,3495.75000000,591.10000000
2024-06-23,63210.01000000,3420.91000000,577.50000000
2024-06-24,60293.30000000,3352.73000000,568.10000000
2024-06-25,61806.01000000,3394.91000000,578.20000000
2024-06-26,60864.99000000,3371.44000000,573.00000000
2024-06-27,61706.47000000,3450.44000000,581.70000000
2024-06-28,60427.84000000,3380.15000000,567.40000000
2024-06-29,60986.68000000,3378.80000000,570.00000000
2024-06-30,62772.01000000,3438.16000000,582.20000000
